sentence,tokens,person1,person2,person1_word_idx,person2_word_idx,location1,location2,family1,family2,location_yes,family_yes
"The two main sampling techniques used as per statistical needs are : • Probability samplings such as cluster sampling , random sampling , and stratified sampling • Non -probability samplings such as quota sampling , convenience sampling , and snowball sampling .Outline the differences between supervised and unsupervised learning .","['The', 'two', 'main', 'sampling', 'techniques', 'used', 'as', 'per', 'statistical', 'needs', 'are', ':', '•', 'Probability', 'samplings', 'such', 'as', 'cluster', 'sampling', ',', 'random', 'sampling', ',', 'and', 'stratified', 'sampling', '•', 'Non', '-probability', 'samplings', 'such', 'as', 'quota', 'sampling', ',', 'convenience', 'sampling', ',', 'and', 'snowball', 'sampling', '.Outline', 'the', 'differences', 'between', 'supervised', 'and', 'unsupervised', 'learning', '.']",two,• Non,"(1, 1)","(12, 26, 27)",0,0,0,0,0,0
"Structured , semi -structured , and unstructured data are the three types of data in big data .","['Structured', ',', 'semi', '-structured', ',', 'and', 'unstructured', 'data', 'are', 'the', 'three', 'types', 'of', 'data', 'in', 'big', 'data', '.']",Structured,three,"(0, 0)","(10, 10)",0,0,0,0,0,0
"Volume , Velocity , Variety , Veracity , and Value are the five V ’ s of big data .","['Volume', ',', 'Velocity', ',', 'Variety', ',', 'Veracity', ',', 'and', 'Value', 'are', 'the', 'five', 'V', '’', 's', 'of', 'big', 'data', '.']",Value,five,"(9, 9)","(12, 12)",0,0,0,0,0,0
"NLP stands for Natural Language Processing , which is a process of extracting information from text data .","['NLP', 'stands', 'for', 'Natural', 'Language', 'Processing', ',', 'which', 'is', 'a', 'process', 'of', 'extracting', 'information', 'from', 'text', 'data', '.']",NLP,Natural Language Processing,"(0, 0)","(3, 4)",0,0,0,0,0,0
Correlation and covariance are two measures of how two variables are related .,"['Correlation', 'and', 'covariance', 'are', 'two', 'measures', 'of', 'how', 'two', 'variables', 'are', 'related', '.']",two,two,"(4, 4)","(4, 4)",0,0,0,0,0,0
"Correlation is a measure of how two variables vary together , while covariance is a measure of how two variables vary in relation to each other .","['Correlation', 'is', 'a', 'measure', 'of', 'how', 'two', 'variables', 'vary', 'together', ',', 'while', 'covariance', 'is', 'a', 'measure', 'of', 'how', 'two', 'variables', 'vary', 'in', 'relation', 'to', 'each', 'other', '.']",two,two,"(6, 6)","(6, 6)",0,1,0,0,1,0
The Hamming distance and the Levenshtein distance are two methods for comparing the distance between two binary strings .,"['The', 'Hamming', 'distance', 'and', 'the', 'Levenshtein', 'distance', 'are', 'two', 'methods', 'for', 'comparing', 'the', 'distance', 'between', 'two', 'binary', 'strings', '.']",Levenshtein,two,"(5, 5)","(8, 8)",0,0,0,0,0,0
The Hamming distance and the Levenshtein distance are two methods for comparing the distance between two binary strings .,"['The', 'Hamming', 'distance', 'and', 'the', 'Levenshtein', 'distance', 'are', 'two', 'methods', 'for', 'comparing', 'the', 'distance', 'between', 'two', 'binary', 'strings', '.']",Levenshtein,two,"(5, 5)","(8, 8)",0,0,0,0,0,0
The Hamming distance and the Levenshtein distance are two methods for comparing the distance between two binary strings .,"['The', 'Hamming', 'distance', 'and', 'the', 'Levenshtein', 'distance', 'are', 'two', 'methods', 'for', 'comparing', 'the', 'distance', 'between', 'two', 'binary', 'strings', '.']",two,two,"(8, 8)","(8, 8)",0,0,0,0,0,0
The number of bits that differ between two strings is defined as the Hamming distance .,"['The', 'number', 'of', 'bits', 'that', 'differ', 'between', 'two', 'strings', 'is', 'defined', 'as', 'the', 'Hamming', 'distance', '.']",two,Hamming,"(7, 7)","(13, 13)",0,1,0,0,1,0
